item,R1-R2_n,R1-R2_median,R1-R2_p90,R1-M1_n,R1-M1_median,R1-M1_p90,M1-M23_n,M1-M23_median,M1-M23_p90,R1-M23_n,R1-M23_median,R1-M23_p90,R1-M28_n,R1-M28_median,R1-M28_p90,R1-H23_n,R1-H23_median,R1-H23_p90,R1-H28_n,R1-H28_median,R1-H28_p90,R1-M18_n,R1-M18_median,R1-M18_p90,R1-M12_n,R1-M12_median,R1-M12_p90,PR-PM1_n,PR-PM1_median,PR-PM1_p90,PR-PM23_n,PR-PM23_median,PR-PM23_p90,PR-PM28_n,PR-PM28_median,PR-PM28_p90,PR-PH23_n,PR-PH23_median,PR-PH23_p90,PR-PH28_n,PR-PH28_median,PR-PH28_p90,PR-PM18_n,PR-PM18_median,PR-PM18_p90,PR-PM12_n,PR-PM12_median,PR-PM12_p90
phase_P09_ms,38,0.0,0.0,38,0.494,5.1636,38,0.394,5.8642,38,0.48,2.5231,38,0.441,5.4821,38,0.3345,3.3876,38,0.621,5.8594,38,0.429,6.4739,38,0.363,6.2479,38,0.0,2.5692,38,0.0,0.9686,38,0.0,3.8232,38,0.0,1.1399,38,0.0,5.2302,38,0.0,2.7648,38,0.0,0.5422
phase_P10_ms,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0
phase_P12_ms,38,0.0,0.0,38,1.313,4.1721,37,1.121,5.0874,37,1.859,3.9888,37,2.28,4.6964,37,0.0,3.8142,38,1.025,3.3753,37,1.668,4.1536,37,0.372,4.5402,38,0.6645,3.7421,38,1.6725,3.755,38,1.691,4.7037,38,0.0,3.3596,38,0.993,3.3753,38,1.5785,4.6497,38,0.0,4.5369
phase_P13_ms,38,0.0,0.0,38,0.117,0.6553,37,0.323,0.6078,37,0.235,0.8924,38,0.1315,1.2963,37,0.129,0.7124,38,0.287,0.8128,37,0.223,1.052,37,0.147,1.01,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
phase_P14_ms,38,0.0,0.0,38,0.857,6.9481,37,1.118,4.998,37,0.792,9.7654,38,0.752,5.3871,37,0.736,7.2526,38,1.0395,7.9061,37,0.44,3.496,37,0.47,4.9244,38,0.0,1.5426,38,0.0,1.4376,38,0.0,2.3443,38,0.0,1.4262,38,0.0,1.4376,38,0.0,2.6159,38,0.0,0.8326
phase_count_diff,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_body_px_mean,38,0.0,0.0,38,2.1905,3.5516,38,1.5048,2.4116,38,2.1281,3.462,38,2.7005,4.0169,38,2.0878,3.9917,38,2.5974,4.0648,38,1.8047,3.51,38,1.4274,3.153,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_body_px_p95,38,0.0,0.0,38,5.3324,9.1102,38,3.6087,6.1113,38,4.9028,9.2137,38,6.3437,10.3963,38,4.9591,9.8724,38,6.0634,10.0036,38,4.2199,8.7984,38,3.5297,7.8099,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_frames_common,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0,38,215.0,229.0
pose_hands_px_mean,38,0.0,0.0,38,3.3422,5.9376,38,2.2767,4.4441,38,3.5447,5.802,38,4.2149,7.4563,38,3.5138,5.7391,38,4.165,6.8409,38,2.7601,5.4672,38,2.5326,4.7322,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
pose_hands_px_p95,38,0.0,0.0,38,7.9676,12.5134,38,5.2644,8.7382,38,7.3385,12.5464,38,10.0034,15.9377,38,7.5694,12.7975,38,8.6458,14.0956,38,6.2424,13.0349,38,5.3003,11.0973,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
score_overall,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
